Sentence Japanese,Sentence English,Happy,Angry,Surprise,Sad,Fear
昔、かわいい小さな女の子がいました,Once upon a time there was a cute little girl,0.5,0,0.5,0,0
誰でもその子を見ると可愛がりましたが、特におばあさんが一番で、子供にあげないものは何もないほどの可愛がりようでした,"Anyone who saw the child loved him, but especially the grandmother, who seemed to love him so much that there was nothing he wouldn't give to the child.",0.67,0,0,0,0.33
あるときおばあさんは赤いビロードの頭巾をあげました,Once my grandmother gave me a red velvet hood,0,0.5,0,0,0.5
その頭巾は子供にとてもよく似合ったので子供は他のものをかぶろうとしなくなり、それでいつも赤頭巾ちゃんと呼ばれました,"The hood suited the child so well that the child did not want to wear anything else, so he was always called Little Red Riding Hood.",0,1,0,0,0
ある日、おかあさんが赤頭巾に言いました,One day her mother said to Little Red Riding Hood,0.5,0.5,0,0,0
「おいで、赤頭巾、ここにケーキが一つとワインが一本あるわ,"""Come on, Little Red Riding Hood, here's a cake and a bottle of wine.",0,1,0,0,0
おばあさんのところへ持って行ってちょうだい,take it to grandma,0,0,0,0,0
おばあさんは病気で弱っているの,The grandmother is sick and weak,0,0,0,1,0
これを食べると体にいいのよ,Eating this is good for you,0,0,0,0,1
暑くならないうちにでかけなさい,go out before it gets hot,0,0,0,1,0
行くとき、ちゃんと静かに歩いて、道をそれないのよ,"When you go, walk quietly and don't stray from the road",0,0,0,0,0
そうしないと転んでビンを割って、おばあさんは何ももらえなくなるからね,Otherwise you'll fall and break the bottle and the old lady won't get anything.,0,0,0.5,0.5,0
部屋に入ったら、お早うございます、と言うのを忘れちゃだめよ,Don't forget to say good morning when you enter the room,0,0.5,0,0,0.5
ご挨拶の前にあちこち覗き込んだりしないでね,Don't peek here and there before greeting,0,0,1,0,0
」「よく気をつけるわ,"""I'll be careful",0,0,0,1,0
」と赤頭巾はお母さんに言って、約束の握手をしました,"said Little Red Riding Hood to her mother, giving her the promised handshake.",0,0.33,0,0.33,0.33
おばあさんは村から1.5キロ離れた森に住んでいて、赤頭巾が森に入ったちょうどそのとき、狼に会いました,"The old woman lived in the woods 1.5 kilometers from the village, and met a wolf just as Little Red Riding Hood entered the woods.",0,0.33,0,0,0.67
赤頭巾は狼が悪いけものだと知らなくて、まったくこわがりませんでした,"Little Red Riding Hood didn't know the wolf was a bad beast, so she wasn't afraid at all.",0,0.33,0,0.33,0.33
狼は言いました,the wolf said,0,0,0,0,0
「こんにちは、赤頭巾ちゃん,"""Hello Little Red Riding Hood",0,1,0,0,0
」「ご親切にありがとう、狼さん」「こんなに早くどこへ行くんだい、赤頭巾ちゃん?」「おばあさんのところよ,"""Thank you for your kindness, Mr. Wolf."" ""Where are you going so soon, Little Red Riding Hood?""",0,1,0,0,0
」「エプロンには何が入ってるの?」「ケーキとワインよ,"""What's in your apron?"" ""Cake and wine",0,0,0,0,0
昨日が焼いた日よ,Yesterday was the day I baked,1,0,0,0,0
可哀そうな病気のおばあさんにおいしいものを食べてもらって丈夫になってもらうのよ,Give the poor sick old lady something delicious to eat and get strong.,0.25,0,0,0.25,0.5
」「赤頭巾ちゃん、おばあさんはどこに住んでいるの?」「森をあとたっぷり700メートルいったところ,"""Little Red Riding Hood, where does your grandmother live?""",0,1,0,0,0
おばあさんのお家は3本の大きな樫の木の下にあるの,Grandmother's house is under three big oak trees,0,0,0,0,0
はしばみの木がすぐ下にあるから、きっとわかるわ,"The hazel tree is right below, so I'm sure you'll know",0,0,0,0,0
」と赤頭巾は答えました,replied Little Red Riding Hood,0,1,0,0,0
狼は、「なんて柔らかそうで若いんだ,"The wolf said, ""How tender and young you are!",1,0,0,0,0
なんておいしそうに太ってるんだろう,how deliciously fat,0,0,0,0,0
ばあさんよりうまそうだ,looks better than grandma,0,0,0,0,0
おれはうまくやって両方つかまえなくちゃならん,I gotta get along and catch them both,0,0,0,0,0
」と心の中で考えました,' I thought to myself,0,0,0,0,0
それで狼はしばらく赤頭巾のそばを歩いて、それから言いました,"So the wolf walked by Little Red Riding Hood for a while, and then said,",0,1,0,0,0
「赤頭巾ちゃん、見てごらん、このあたりの花はなんてきれいなんだろうね,"""Little Red Riding Hood, look how beautiful the flowers are around here.",0.5,0.5,0,0,0
周りを見回してごらん,look around,0,0,0,0,0
小鳥たちもとてもきれいにさえずっているのに君はきいてないみたいじゃないか,"Even the birds are singing so beautifully, but you don't seem to be listening",0,0.5,0,0.5,0
君は学校へ行くみたいに真面目くさって歩いてるんだね　森の中のここではほかは何でも楽しいのに,You're walking as serious as if you were going to school.Everything else is fun here in the woods.,0.5,0,0,0,0.5
